claim,label,language,output,correct,inconclusive
Congress MLA Anil Upadhyay assaulted policeman in restaurant,false,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए कोई विश्वसनीय स्रोत या जानकारी नहीं मिली है। इसलिए, मैं इस कथन को सत्यापित नहीं कर सकता।

अंतिम उत्तर: असत्य",False,True
"In the video, a huge waterfall water is seen falling on the Shivling.The video has been described as Pashupati Nath Temple in Nepal.",false,hi,अंतिम उत्तर: असत्य,False,True
You have been elected the best person in the world in the world trial.,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
A video on social media is widely as a claim that a deceased party was alive before the final funeral.,half true,pa,"ਇਸ ਬਿਆਨ ਦੀ ਸੱਚਾਈ ਦਾ ਨਿਰਧਾਰਨ ਕਰਨ ਲਈ ਸਾਨੂੰ ਸਬੂਤਾਂ ਦੀ ਜਾਂਚ ਕਰਨ ਦੀ ਲੋੜ ਹੈ। ਜੇਕਰ ਸਬੂਤ ਸਪੱਸ਼ਟ ਤੌਰ 'ਤੇ ਦਿਖਾਉਂਦੇ ਹਨ ਕਿ ਮ੍ਰਿਤਕ ਵਿਅਕਤੀ ਅਸਲ ਵਿੱਚ ਮੌਤ ਤੋਂ ਬਾਅਦ ਜ਼ਿੰਦਾ ਸੀ, ਤਾਂ ਬਿਆਨ «ਸੱਚ» ਹੋਵੇਗਾ। ਜੇਕਰ ਸਬੂਤ ਇਸ ਬਿਆਨ ਨੂੰ ਝੂਠਾ ਸਾਬਤ ਕਰਦੇ ਹਨ, ਤਾਂ ਬਿਆਨ «ਝੂਠ» ਹੋਵੇਗਾ। ਇਸ ਸਥਿਤੀ ਵਿੱਚ, ਸਾਡੇ ਕੋਲ ਸਬੂਤਾਂ ਦੀ ਜਾਣਕਾਰੀ ਨਹੀਂ ਹੈ।

ਅੰਤਿਮ ਜਵਾਬ: «ਝੂਠ»",False,True
"In Madhya Pradesh, a Hindu girl was burnt alive for participating in the Prayer Meet in the church.",mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों और समाचार रिपोर्टों की जांच करना आवश्यक है। बिना किसी ठोस प्रमाण या विश्वसनीय स्रोत के, इस कथन को सत्य या असत्य के रूप में वर्गीकृत करना मुश्किल है। 

अंतिम उत्तर: असत्य",False,True
"The mosque of Bangalore was named after Prime Minister Narendra Modi,",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
A picture of a 24 -year -old Muslim girl who passed the IAS examination.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में कोई 24 वर्षीय मुस्लिम लड़की ने IAS परीक्षा पास की है और उसकी तस्वीर उपलब्ध है। 

यदि हमारे पास इस बात की पुष्टि करने वाले सटीक और विश्वसनीय स्रोत हैं कि एक 24 वर्षीय मुस्लिम लड़की ने IAS परीक्षा पास की है और उसकी तस्वीर उपलब्ध है, तो यह कथन सत्य होगा। 

हालांकि, बिना किसी ठोस प्रमाण या स्रोत के, इस कथन की सत्यता की पुष्टि करना मुश्किल है। 

अंतिम उत्तर: आधा सत्य",False,True
Claiming that the girl in the picture is the need for the time that the cost of going to Canada.,false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
A woman from America has given birth to 17 pair of boys simultaneously.,false,hi,"यह कथन «असत्य» है। एक महिला का एक ही समय में 17 जोड़े लड़कों को जन्म देना जैविक और चिकित्सीय दृष्टिकोण से असंभव है। अब तक के ज्ञात चिकित्सा रिकॉर्ड में ऐसा कोई मामला दर्ज नहीं है।

अंतिम उत्तर: असत्य",False,True
Social media and former Indian cricketer is claiming to have been claimed that former Indian cricketer has been killed.,half true,pa,"ਇਸ ਬਿਆਨ ਦੀ ਸਹੀ ਜਾਂ ਝੂਠੀ ਹੋਣ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਲਈ, ਸਾਨੂੰ ਮੂਲ ਸੂਤਰਾਂ ਜਾਂ ਭਰੋਸੇਯੋਗ ਖ਼ਬਰਾਂ ਦੀ ਜਾਂਚ ਕਰਨ ਦੀ ਲੋੜ ਹੈ। ਜੇਕਰ ਕੋਈ ਭਰੋਸੇਯੋਗ ਸੂਤਰ ਇਸ ਬਿਆਨ ਦੀ ਪੁਸ਼ਟੀ ਨਹੀਂ ਕਰਦੇ, ਤਾਂ ਇਹ ਬਿਆਨ ਝੂਠ ਹੋ ਸਕਦਾ ਹੈ। ਇਸ ਲਈ, ਮੌਜੂਦਾ ਜਾਣਕਾਰੀ ਦੇ ਅਧਾਰ 'ਤੇ:

ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ",False,True
Prime Minister Narendra Modi is bowing down the industrialist 'Adani's wife'.,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Ratan Tata bought 50 percent of the 18-year-old young man's generator pharmacy start-up.,false,mr,अंतिम उत्तर: असत्य,False,True
The Indian army built a bridge over the Galwan river which China wanted to stop,half true,gu,અંતિમ જવાબ: મોટાભાગનું સત્ય,False,True
The picture shows that Russian President Vladimir Putin has placed a portrait of Ambedkar at Dr. Bhimara of India at his office,false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Put 1000 work on the side and listen to this audio clip for you and your family for the goodness,false,gu,અંતિમ જવાબ: ખોટું,False,True
In this video West Bengal police can be seen bombing protesters,half true,bn,"এই বক্তব্যটি যাচাই করার জন্য নির্ভরযোগ্য সূত্র থেকে তথ্য সংগ্রহ করা প্রয়োজন। যদি ভিডিওটি সত্যিই পশ্চিমবঙ্গ পুলিশের বোমা নিক্ষেপের ঘটনা প্রদর্শন করে এবং এটি নির্ভরযোগ্যভাবে প্রমাণিত হয়, তাহলে বক্তব্যটি «সত্য» হবে। অন্যদিকে, যদি ভিডিওটি ভুলভাবে উপস্থাপন করা হয় বা সম্পাদিত হয়, তাহলে এটি «মিথ্যা» হবে। 

তথ্য যাচাই না করে চূড়ান্ত সিদ্ধান্তে পৌঁছানো সম্ভব নয়। তবে, যদি নির্ভরযোগ্য সূত্র থেকে প্রমাণিত হয় যে ভিডিওটি সত্য, তাহলে:

চূড়ান্ত উত্তর: সত্য",False,True
Tata Motors can go up to 5 km if the electric car called Evision's Evens can go up to 5 km and it has a 5 -year warranty on the battery.,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
This video also shows it clearly… .The wife of US President Donald Trump gives a gift to former US President Obama… who accepts the gift for Obama to accept… .and then he throws the gift ahead….Going,half true,gu,"અંતિમ જવાબ: ખોટું

આ નિવેદન ખોટું છે. 2017માં, ડોનાલ્ડ ટ્રમ્પના પ્રમુખ પદના શપથવિધિ દરમિયાન, મેલાનિયા ટ્રમ્પે મિશેલ ઓબામાને એક ભેટ આપી હતી. મિશેલ ઓબામાએ ભેટ સ્વીકારી હતી અને તે પછી તે ભેટને હલકાથી હેન્ડલ કરવા માટે મદદની જરૂર હતી, પરંતુ કોઈએ ભેટને ફેંકી ન હતી. આ ઘટનાની વિડિઓઝ અને ફોટોગ્રાફ્સ આ દાવાને ખોટું સાબિત કરે છે.",False,True
"It was a step for the good of Punjab to offer the Ram Rahim by Sukhbir Badal: Prem Singh Chandumajra, former MPs",false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਸੱਚ,False,True
Famous French footballer Paul Pogba has retired from a football game in protest against the French President's statement on Islam.,false,gu,અંતિમ જવાબ: ખોટું,False,True
Viral Photo,half true,bn,"'Viral Photo' এই বক্তব্যটি নির্দিষ্টভাবে সত্য বা মিথ্যা হিসেবে নির্ধারণ করা সম্ভব নয় কারণ এটি নির্ভর করে প্রেক্ষাপটের উপর। একটি ছবি ভাইরাল হতে পারে বিভিন্ন কারণে, যেমন এটি সত্যিকারের ঘটনা বা পরিস্থিতি প্রদর্শন করতে পারে, অথবা এটি সম্পূর্ণভাবে মিথ্যা বা ভুল তথ্য প্রচার করতে পারে। তাই, 'Viral Photo' এই বক্তব্যটি নির্দিষ্টভাবে সত্য বা মিথ্যা হিসেবে চিহ্নিত করা যায় না।

চূড়ান্ত উত্তর: অর্ধসত্য",False,True
Where the masculine is said to have been a matter of fact.,false,gu,અંતિમ જવાબ: ખોટું,False,True
"The East India Company's ship is seen to trade in India in this film, taken on the 21st",mostly false,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
"In Jharkhand, a boy named Nafis attacked his Hindu girlfriend with scissors.",half true,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों से जानकारी की आवश्यकता है। बिना विश्वसनीय स्रोतों के, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: असत्य",False,True
"This picture of the burning truck is of riots in Bengaluru on August 11, when the mob set fire",half true,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें यह देखना होगा कि क्या वास्तव में 11 अगस्त को बेंगलुरु में दंगे हुए थे और क्या उस समय भीड़ ने ट्रक को आग लगाई थी। 

11 अगस्त 2020 को बेंगलुरु में दंगे हुए थे, जिसमें भीड़ ने कई वाहनों को आग लगा दी थी। इस घटना में कई पुलिस थानों और सार्वजनिक संपत्तियों को भी नुकसान पहुंचा था। 

इसलिए, यह कथन सही है कि 11 अगस्त को बेंगलुरु में दंगे हुए थे और भीड़ ने वाहनों को आग लगाई थी।

अंतिम उत्तर: सत्य",False,True
In the picture shows CPI-M leader Sitaram Yechuri and Vrinda Karat hung a placard in the neck to support China,false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
India's group of Muslims tied up,half true,bn,«চূড়ান্ত উত্তর: মিথ্যা»,False,True
A video of a woman beating in the elevator Delhi Metro,half true,mr,"मी सध्याच्या घडामोडींची किंवा विशिष्ट घटनांची माहिती थेट तपासू शकत नाही. तथापि, जर तुम्हाला ""A video of a woman beating in the elevator Delhi Metro"" या विधानाबद्दल सत्यता जाणून घ्यायची असेल, तर तुम्ही विश्वासार्ह बातमी स्रोत, अधिकृत निवेदन किंवा संबंधित अधिकाऱ्यांकडून पुष्टीकरण शोधू शकता.

अंतिम उत्तर: अर्धसत्य",False,True
US protesters in protest of George Floyd's death,half true,bn,চূড়ান্ত উত্তর: সত্য,False,True
The photo is a public meeting of Kanhaiya Kumar in Varanasi.,false,bn,চূড়ান্ত উত্তর: «অর্ধসত্য»,False,True
"The video is in Shaheenbagh, the women's position.",mostly false,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
The Italian doctor couple seen in the picture gave their lives while treating the corona patients.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। हालांकि, इस कथन के बारे में कोई विश्वसनीय जानकारी या प्रमाण उपलब्ध नहीं है जो यह पुष्टि कर सके कि यह कथन सत्य है। इसलिए, इस कथन को सत्य मानना उचित नहीं होगा।

अंतिम उत्तर: असत्य",False,True
A video of a decaying road in Delhi in which two women can be seen falling into the gutter.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें इस घटना के बारे में विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि यह घटना वास्तव में घटित हुई है और इसके प्रमाण मौजूद हैं, तो यह कथन सत्य हो सकता है। अन्यथा, यह असत्य हो सकता है।

अंतिम उत्तर: असत्य",False,True
Sadhvi Pragya has been acquitted by the court allegations of terrorism,mostly false,hi,"साध्वी प्रज्ञा सिंह ठाकुर को 2008 मालेगांव विस्फोट मामले में आतंकवाद के आरोपों का सामना करना पड़ा था। हालांकि, उन्हें कुछ आरोपों से बरी कर दिया गया था, लेकिन उन पर अन्य आरोपों के तहत मुकदमा चल रहा है। इसलिए यह कहना कि उन्हें सभी आतंकवाद के आरोपों से बरी कर दिया गया है, सही नहीं होगा।

अंतिम उत्तर: अधिकांशतः असत्य",False,True
Sushma Swaraj said that not a single man died in Balakot AIRRIC,mostly false,hi,"सुषमा स्वराज ने 2019 में एक बयान दिया था जिसमें उन्होंने कहा था कि बालाकोट एयरस्ट्राइक में कोई भी नागरिक हताहत नहीं हुआ था। उन्होंने यह नहीं कहा था कि कोई भी आतंकवादी या अन्य व्यक्ति नहीं मारा गया। इसलिए, यह कथन कि ""सुषमा स्वराज ने कहा कि बालाकोट एयरस्ट्राइक में एक भी आदमी नहीं मरा"" सही नहीं है।

अंतिम उत्तर: असत्य",False,True
"In the picture, the sister of Delhi riots, Molla Mishra, married a man named Molla Shahzad Ali and married a man",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
This image made by Japanese neurologist helps to learn about emotional stress,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
In the video one octopus is seen walking on the edge of the sea,mostly false,bn,চূড়ান্ত উত্তর: সত্য,False,True
A picture of Germany where foreign children are adopting Sanatan civilization in Gurukul.,half true,hi,अंतिम उत्तर: असत्य,False,True
This photo is of the Babri Masjid,mostly false,bn,"এই প্রশ্নের সঠিক উত্তর দেওয়ার জন্য, আমাকে সেই নির্দিষ্ট ছবিটি দেখতে হবে। যেহেতু আমি ছবিটি দেখতে পাচ্ছি না, তাই আমি নির্দিষ্টভাবে বলতে পারছি না যে এই বক্তব্যটি সঠিক কিনা।

চূড়ান্ত উত্তর: অজানা",False,True
Ram Bridge is seen through satellite due to low environmental pollution,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
The President of Shiromani Akali Dal (Democratic) President and Rajya Sabha Member Bharadev Singh Dhandev Singh Dhangasa has arranged to the camp performed by Sukhbir Badal.,false,pa,"ਇਸ ਬਿਆਨ ਵਿੱਚ ਕਈ ਗਲਤੀਆਂ ਹਨ। ਪਹਿਲਾਂ, Shiromani Akali Dal (Democratic) ਦੇ ਪ੍ਰਧਾਨ ਦਾ ਨਾਮ ਭਰਦੇਵ ਸਿੰਘ ਧਨਦੇਵ ਸਿੰਘ ਧੰਗਾਸਾ ਨਹੀਂ ਹੈ। ਦੂਜਾ, Sukhbir Badal Shiromani Akali Dal ਦੇ ਪ੍ਰਧਾਨ ਹਨ, ਨਾ ਕਿ Shiromani Akali Dal (Democratic) ਦੇ। ਇਸ ਲਈ, ਇਹ ਬਿਆਨ ਗਲਤ ਹੈ।

ਅੰਤਿਮ ਜਵਾਬ: «ਝੂਠ»",False,True
A fierce fire broke out due to leaking gas tanker near Shahdara Mor in Delhi.,mostly false,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों से जानकारी की आवश्यकता है। फिलहाल, मेरे पास इस घटना की पुष्टि करने के लिए कोई ठोस जानकारी नहीं है।

अंतिम उत्तर: असत्य",False,True
Chief Minister Uddhav Thackeray's photo watching Republic News Channel,half true,mr,"मी या विधानाची सत्यता निश्चित करण्यासाठी कोणतेही प्रत्यक्ष पुरावे तपासू शकत नाही. तथापि, जर कोणतेही विश्वसनीय स्रोत किंवा पुरावे उपलब्ध नसतील, तर हे विधान सत्य असल्याचे मानले जाऊ शकत नाही. त्यामुळे, उपलब्ध माहितीच्या आधारे, माझे अंतिम उत्तर असेल:

अंतिम उत्तर: असत्य",False,True
Claim to show a picture of the attacker who slapped Kejriwal,false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जांचना होगा कि क्या वास्तव में कोई तस्वीर उपलब्ध है जो उस हमलावर को दिखाती है जिसने केजरीवाल को थप्पड़ मारा था। अगर ऐसी तस्वीर मौजूद है और वह सही व्यक्ति को दिखाती है, तो यह कथन सत्य होगा। अगर तस्वीर मौजूद नहीं है या वह गलत व्यक्ति को दिखाती है, तो यह कथन असत्य होगा।

अंतिम उत्तर: सत्य",False,True
"Long mask use may cause hypoxia, oxygen deficiency, fatigue and reducing verbs.",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"Tirpude, Tirpude, sells the world and the child and took care of the child and passed the MPSC PSI exam by studying from Yashwantrao Chavan Maharashtra Open University.",half true,mr,"हे विधान तपासण्यासाठी काही मुद्दे विचारात घ्यावे लागतील:

1. **""Tirpude, Tirpude, sells the world and the child""**: हे विधान स्पष्ट नाही आणि कोणत्याही वास्तवाशी जुळत नाही. त्यामुळे हे विधान असत्य आहे.
2. **""took care of the child""**: हे विधान सत्य असू शकते, परंतु याची पुष्टी करणे कठीण आहे.
3. **""passed the MPSC PSI exam by studying from Yashwantrao Chavan Maharashtra Open University""**: हे विधान सत्य असू शकते, परंतु याची पुष्टी करणे आवश्यक आहे.

या सर्व मुद्द्यांचा विचार करता, हे विधान पूर्णपणे सत्य किंवा असत्य म्हणणे कठीण आहे. त्यामुळे हे विधान अर्धसत्य आहे.

अंतिम उत्तर: अर्धसत्य",False,True
Smuggling of human organs in the name of corona in Mumbai,false,mr,"मी सध्याच्या माहितीनुसार असे विधान सत्य आहे की नाही हे निश्चित करू शकत नाही. तथापि, अशा प्रकारच्या गंभीर आरोपांची पुष्टी करण्यासाठी विश्वसनीय स्रोत आणि तपशीलवार तपासणी आवश्यक आहे. 

अंतिम उत्तर: अर्धसत्य",False,True
This video is from the king of Bahrain who has reached Dubai with his robot bodyguard.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
The picture of a woman on social media is being virule that has fallen dresses.It is being claimed that this woman resisted in this way by taking the rising rape of rape in the country.,false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
Chief Minister Uddhav Thackeray has asked the Christian community to pray for the correction.,half true,mr,"मी दिलेल्या विधानाची सत्यता तपासू शकत नाही कारण माझ्याकडे अद्ययावत माहिती नाही. तथापि, मी तुमच्या प्रश्नाचे उत्तर देण्यासाठी काही सामान्य मार्गदर्शन देऊ शकतो.

जर तुम्हाला हे विधान सत्य आहे की नाही हे तपासायचे असेल, तर तुम्ही खालील गोष्टींची पडताळणी करू शकता:
1. अधिकृत बातम्या किंवा विश्वसनीय स्रोत तपासा.
2. महाराष्ट्र सरकारच्या अधिकृत घोषणांमध्ये किंवा प्रेस रिलीझमध्ये हे विधान आहे का ते पहा.
3. संबंधित व्यक्ती किंवा त्यांच्या कार्यालयाशी संपर्क साधून पुष्टीकरण मिळवा.

तुम्ही या तपासण्या केल्यानंतरच योग्य निष्कर्षापर्यंत पोहोचू शकता.

अंतिम उत्तर: तपासणी आवश्यक आहे.",False,True
Kangana Ranout claims to boycott Kapil Sharma's show,false,mr,अंतिम उत्तर: अर्धसत्य,False,True
There was no death due to Corona virus in Israel because they drink lemon and baking soda in tea.This mixture kills the corona virus.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
"NCP leader Sanjay Shinde, the main assassin of the Palghar Sadhu murder, died in a car accident.",false,mr,"मी दिलेल्या विधानाची सत्यता तपासण्यासाठी कोणत्याही विशिष्ट स्रोतांची पडताळणी करू शकत नाही. तथापि, उपलब्ध माहितीच्या आधारे, ""NCP leader Sanjay Shinde, the main assassin of the Palghar Sadhu murder, died in a car accident."" हे विधान सत्य नाही असे दिसते. 

अंतिम उत्तर: असत्य",False,True
This video is seen to run the Indian Army to run a failed rocket,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"Corona's case extends the lockdown, the decision to keep the lockdown from 1 to 16 August",false,gu,અંતિમ જવાબ: ખોટું,False,True
"In Indore, after supporting CAA and NPR, the BJP leader was beaten up with slippers by soot on the mouth of the leader.",mostly false,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों की आवश्यकता है। हालांकि, मेरे पास वर्तमान में इस घटना की पुष्टि करने के लिए आवश्यक जानकारी नहीं है। इसलिए, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: असत्य",False,True
Prime Minister Narendra Modi released the Ramayana's stamps in July this year,half true,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"The funeral of innocent and innocent pregnant hand, God gives him peace of the soul of him and his cubs, ૐ Peace",half true,gu,અંતિમ જવાબ: ખોટું,False,True
This is a picture of the Marksheet of Sanjay Ravidas this year in West Bengal's Volunteer West Bengal,half true,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"From Social Media and Sangrur, the Aam Aadmi Party Parliament Bhagwant Mann is being virule in the picture of the Aam Aadmi, which can be seen at the video conference.At the same time, alcohol is seen on the table.",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਅੱਧਾ ਸੱਚ,False,True
