claim,label,language,translated_claim,output,final_answer,correct,inconclusive
ভিডিওতে এক অক্টোপাসকে সমুদ্রের ধার দিয়ে হাঁটতে দেখা যাচ্ছে,mostly false,bn,"'In the video, an octopus can be seen walking along the shore.'",Final Answer: False,false,False,False
जर्मनी की एक तस्वीर जहां विदेशी बच्चे गुरुकुल में सनातन सभ्यता अपना रहे हैं.,half true,hi,'A picture of Germany where foreign children are embracing Sanatan civilization in a Gurukul.',Final Answer: False,false,False,False
এই ছবিটি বাবরি মসজিদের,mostly false,bn,'This picture is of the Babri Mosque.',Final Answer: True,true,False,False
পরিবেশ দূষণ কম হওয়ার কারণে স্যাটেলাইটের মাধ্যমে দেখতে পাওয়া যাচ্ছে রাম সেতু,mostly false,bn,"""Due to reduced environmental pollution, the Ram Setu can be seen through satellites.""",Final Answer: False,false,False,False
ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਸ਼੍ਰੋਮਣੀ ਅਕਾਲੀ ਦਲ ( ਡੇਮੋਕ੍ਰੇਟਿਕ) ਦੇ ਪ੍ਰਧਾਨ ਤੇ ਰਾਜ ਸਭਾ ਮੈਂਬਰ ਸੁਖਦੇਵ ਸਿੰਘ ਢੀਂਡਸਾ ਨੇ ਬਿਆਨ ਦਿੰਦਿਆਂ ਕਿਹਾ ਹੈ ਕਿ ਸੁਖਬੀਰ ਬਾਦਲ ਵਲੋਂ ਰਾਮ ਰਹੀਮ ਨੂੰ ਭੇਂਟ ਕੀਤੀ ਗਈ ਪੁਸ਼ਾਕ ਪ੍ਰੇਮ ਸਿੰਘ ਚੰਦੂਮਾਜਰਾ ਨੇ ਡੇਰੇ ਤਕ ਪਹੁੰਚਾਈ ਸੀ।,false,pa,"'It is being claimed that Sukhdev Singh Dhindsa, the president of the Shiromani Akali Dal (Democratic) and a member of the Rajya Sabha, stated that the attire presented to Ram Rahim by Sukhbir Badal was delivered to the dera by Prem Singh Chandumajra.'",Final Answer: Half True,half true,False,False
दिल्ली के शाहदरा मोड़ के पास गैस का टैंकर लीक होने से भयंकर आग लगी.,mostly false,hi,A severe fire broke out due to a gas tanker leaking near Shahdara Mor in Delhi.,Final Answer: True,true,False,False
मुख्यमंत्री उद्धव ठाकरे रिपब्लिक न्यूज चॅनल पाहत असल्याचा फोटो,half true,mr,'A photo showing Chief Minister Uddhav Thackeray watching Republic News Channel.',Final Answer: False,false,False,False
केजरीवाल को थप्पड़ मारने वाले हमलावर की तस्वीर दिखाने का दावा,false,hi,'Claim of showing the picture of the attacker who slapped Kejriwal.',Final Answer: False,false,True,False
"দীর্ঘক্ষণ মাস্ক ব্যবহার হাইপোক্সিয়া, অক্সিজেনের ঘাটতি, ক্লান্তি ও প্রতিবর্ত ক্রিয়া হ্রাসের কারণ হতে পারে",mostly false,bn,"'Prolonged use of a mask can lead to hypoxia, oxygen deficiency, fatigue, and a decrease in reflex actions.'",Final Answer: Mostly False,mostly false,True,False
"पद्मशीला तिरपुडे यांनी खलबत्ते, वरवंटे विकून संसार व मुलाला सांभाळून यशवंतराव चव्हाण महाराष्ट्र मुक्त विद्यापीठातून शिक्षण घेऊन MPSC ची PSI ची परीक्षा पास केली",half true,mr,"'Padmashila Tirpude sold grinding stones and winnowing fans while managing her household and child, and passed the MPSC PSI exam after studying at Yashwantrao Chavan Maharashtra Open University.'",Final Answer: True,true,False,False
मुंबईत कोरोनाच्या नावावर मानवी अवयवांची तस्करी,false,mr,'Human organ trafficking under the guise of COVID-19 in Mumbai.',Final Answer: Mostly False,mostly false,False,False
ये वीडियो बहरीन के किंग का है जो अपने रोबोट अंगरक्षक के साथ दुबई पहुंचे हैं.,mostly false,hi,'This video is of the King of Bahrain who has arrived in Dubai with his robot bodyguard.',Final Answer: False,false,False,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਇੱਕ ਮਹਿਲਾ ਦੀ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ ਜਿਸ ਨੇ ਕਾਂਟੇਦਾਰ ਡ੍ਰੈੱਸ ਪਾਈ ਹੋਈ ਹੈ। ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਦੇਸ਼ ਵਿੱਚ ਵੱਧ ਰਹੇ ਬਲਾਤਕਾਰ ਦੀ ਘਟਨਾਵਾਂ ਨੂੰ ਲੈ ਕੇ ਇਸ ਮਹਿਲਾ ਨੇ ਇਸ ਤਰੀਕੇ ਨਾਲ ਵਿਰੋਧ ਜਤਾਇਆ।,false,pa,"'A woman's picture is going viral on social media, in which she is wearing a dress made of barbed wire. It is being claimed that this woman protested in this manner regarding the increasing incidents of rape in the country.'",Final Answer: Mostly True,mostly true,False,False
मुख्यमंत्री उद्धव ठाकरे यांनी ख्रिश्चन समाजास कोरोनासाठी प्रार्थना करण्यास सांगितले आहे.,half true,mr,'Chief Minister Uddhav Thackeray has urged the Christian community to pray for COVID-19.',Final Answer: False,false,False,False
कंगना रानौतने कपिल शर्माच्या शोचा बहिष्कार केल्याचा दावा,false,mr,'Kangana Ranaut claims to have boycotted Kapil Sharma's show.',Final Answer: True,true,False,False
इजरायल में कोरोना वायरस से कोई मौत नहीं हुई क्योंकि वे लोग चाय में नींबू और बेकिंग सोडा मिलाकर पीते हैं. यह मिश्रण कोरोना वायरस को मारता है.,mostly false,hi,"""There have been no deaths from the coronavirus in Israel because people drink tea mixed with lemon and baking soda. This mixture kills the coronavirus.""",Final Answer: False,false,False,False
पालघर साधु हत्यांकांडाचा मुख्य हत्यारा एनसीपी नेताे संजय शिंदे याचा कार अपघातात जळून मृत्यू झाला.,false,mr,"'The main murderer of the Palghar sadhu murder case, NCP leader Sanjay Shinde, died in a car accident after burning.'",Final Answer: False,false,True,False
এই ভিডিওতে ভারতীয় সেনাকে ব্যর্থ রকেট চালনা করতে দেখা যায়,mostly false,bn,"'In this video, the Indian army is seen operating a failed rocket.'",Final Answer: False,false,False,False
"કોરોનાના કેસ વઘતા બિહારે લોકડાઉન લંબાવ્યું, 1થી 16 ઓગસ્ટ સુધી લોકડાઉન રાખવા નિર્ણય",false,gu,"'Due to the increase in coronavirus cases, the lockdown in Bihar has been extended, with a decision to maintain the lockdown from August 1 to August 16.'",Final Answer: False,false,True,False
इंदौर में CAA और NPR का समर्थन करने पर भाजपा नेता के मुंह पर कालिख पोतकर उसे चप्पल से पीटा गया.,mostly false,hi,"In Indore, a BJP leader was blackened with ink and beaten with a slipper for supporting CAA and NPR.",Final Answer: True,true,False,False
প্রধানমন্ত্রী নরেন্দ্র মোদী এই বছর জুলাই মাসে রামায়ণের স্ট্যাম্পগুলি প্রকাশ করেন,half true,bn,Prime Minister Narendra Modi released the stamps of the Ramayana in July this year.,Final Answer: False,false,False,False
"નિર્દોષ અને માસુમ ગર્ભવતી હાથણી, ની અંતિમ વિધિ ભગવાન તેને અને તેના અજન્માં બચ્ચાં ની આત્મા ને ચિર શાંતિ અર્પે, ૐ શાંતિ",half true,gu,"""May the innocent and pure pregnant woman, in her final rites, be granted eternal peace for herself and the souls of her unborn children by God. Om Shanti.""",Final Answer: Half True,half true,True,False
সংঘের স্বয়ংসেবক পশ্চিমবঙ্গের সঞ্জয় রবিদাসের এবছরের মাধ্যমিকের মার্কশিটের ছবি এটি,half true,bn,"'This is the photo of the marksheet of Sanjay Rabidas from West Bengal, a volunteer of the organization, for this year's secondary examination.'",Final Answer: False,false,False,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਸੰਗਰੂਰ ਤੋਂ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਦੇ ਸੰਸਦ ਮੈਂਬਰ ਭਗਵੰਤ ਮਾਨ ਦੀ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ ਜਿਸ ਵਿੱਚ ਉਹ ਵੀਡੀਓ ਕਾਨਫਰੰਸ ਤੇ ਗੱਲ ਕਰਦੇ ਹੋਏ ਦੇਖੇ ਜਾ ਸਕਦੇ ਹਨ। ਇਸ ਦੇ ਨਾਲ ਹੀ ਮੇਜ਼ ਦੇ ਉੱਤੇ ਸ਼ਰਾਬ ਦਾ ਗਲਾਸ ਦਿਖਾਈ ਦੇ ਰਿਹਾ ਹੈ ।ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਭਗਵੰਤ ਮਾਨ ਸ਼ਰਾਬ ਪੀ ਰਹੇ ਹਨ।,half true,pa,"'A picture of Bhagwant Mann, a Member of Parliament from the Aam Aadmi Party in Sangrur, is going viral on social media, in which he can be seen talking on a video conference. Along with this, a glass of alcohol is visible on the table. It is being claimed that Bhagwant Mann is drinking alcohol.'",Final Answer: Half True,half true,True,False
প্রতিবেদনে দাবি করা হয়েছিল ভাইরাল ভিডিওর মহিলা রানু মন্ডল।,true,bn,The report claimed that the woman in the viral video is Ranu Mondal.,Final Answer: False,false,False,False
उर्मिला मातोंडकर मोहन भागवत की भतीजी हैं और शादी के बाद उन्होंने इस्लाम कबूला और नाम बदला.,false,hi,"'Urmila Matondkar is the niece of Mohan Bhagwat, and after marriage, she accepted Islam and changed her name.'",Final Answer: False,false,True,False
हा फोटो अयोध्येत राममंदिराचा बांधकाम करण्यासाठी सपाटीकरणादरम्यान सापडलेल्या शिवलिंगाचा आहे.,half true,mr,'This photo is of the Shivling found during the leveling for the construction of the Ram Temple in Ayodhya.',Final Answer: Mostly True,mostly true,False,False
કોરોના વાઈરસ ને કારણે IPL-2020 બંધ રહેશે,half true,gu,The IPL-2020 will be suspended due to the coronavirus.,Final Answer: True,true,False,False
મધ્યપ્રદેશના પૂર્વ CM દિગ્વિજય સિંહ અને કોંગ્રેસ નેતાની પુત્રી શ્રેયાંશી સિંહ ભાજપમાં જોડાઈ છે.,false,gu,"'Former Chief Minister of Madhya Pradesh, Digvijay Singh, and Congress leader's daughter, Shreyanshi Singh, have joined the BJP.'",Final Answer: False,false,True,False
ਸਾਈਕਲ ਗਰਲ ਜਯੋਤੀ ਪਾਸਵਾਨ ਦੀ ਅਰਜੁਨ ਮਿਸ਼ਰਾ ਨਾਮ ਦੇ ਬ੍ਰਾਹਮਣ ਨੇ ਰੇਪ ਕਰਨ ਤੋਂ ਬਾਅਦ ਹੱਤਿਆ ਕਰ ਦਿੱਤੀ।,half true,pa,'A Brahmin named Arjun Mishra murdered the cyclist girl Jyoti Paswan after raping her.',Final Answer: False,false,False,False
अरब और यहूदियों ने इजरायल और सऊदी अरब में एक दूसरे के देश में दूतावास खुलने पर डांस कर खुशी जाहिर की.,mostly false,hi,"""Arabs and Jews expressed their happiness by dancing over the opening of embassies in each other's countries, Israel and Saudi Arabia.""",Final Answer: False,false,False,False
व्हायरल व्हिडिओ पुण्यातील भांडारकर रोडवरील वाईन शाॅपसमोर वाईन खरेदीसाठी महिलांंची रांग लागल्याचा आहे.,half true,mr,'The viral video shows a line of women waiting to buy wine in front of a wine shop on Bhandarkar Road in Pune.',Final Answer: True,true,False,False
कोरोना वायरस के मरीजों का इलाज करने के दौरान हुए संक्रमण से महाराष्ट्र की 28 वर्षीय डॉक्टर मनीषा पाटिल की मौत हो गई.,false,hi,"A 28-year-old doctor, Manisha Patil, in Maharashtra died from an infection that occurred while treating patients with the coronavirus.",Final Answer: True,true,False,False
আমেরিকার নিউইয়র্ক শহরে মানুষের মাংস বিক্রি হচ্ছে রেস্তোরাঁয়।,false,bn,"'Human flesh is being sold in a restaurant in New York City, America.'",Final Answer: False,false,True,False
"ছবিতে দেখা যাচ্ছে, সম্প্রতি পাস হওয়া কৃষি বিলের প্রতিবাদ করতে মানুষের খুলিসমেত এক কৃষক দিল্লিতে পৌঁছলেন",half true,bn,'The picture shows that a farmer has arrived in Delhi with his head uncovered to protest the recently passed agricultural bill.',Final Answer: False,false,False,False
हर्षवर्धन पाटील यांनी भाजपमध्ये प्रवेश करुन चूक झाल्याचा संदेश दिला आहे.,false,mr,'Harshvardhan Patil has sent a message that joining the BJP was a mistake.',Final Answer: True,true,False,False
