claim,label,language,output,final_answer,correct,inconclusive
"This year [2018], we registered a balance of 204 thousand vacancies with a formal contract",true,pt,Final Answer: False,false,False,False
Young Italians on the run: how many and why?,true,it,Final Answer: Mostly True,mostly true,False,False
"In June 2017, the announcement of the discovery of an alleged diabetes vaccine resurfaced on several French -speaking websites largely taken up on social networks.",false,fr,Final Answer: Mostly False,mostly false,False,False
"""Nothing more than the announcement, 36% computers have already dropped""",half true,es,Final Answer: False,false,False,False
"Senegal has reduced its 50%malnutrition rate, according to the director for Africa for the international Food Policy Research Institute (IFRI).",half true,fr,Final Answer: Mostly True,mostly true,False,False
"Italian companies are not ""the most taxed in the world""",half true,it,Final Answer: Mostly False,mostly false,False,False
"""There are European regulations that define mandatory recycling targets of 65% in 2025 and 70% in 2030 with the ban on burning recyclable waste""",mostly true,it,Final Answer: Mostly True,mostly true,True,False
"""Of 79 thousand jobs (miners) in 2003, we went to almost half a million today""",false,es,Final Answer: False,false,True,False
During today's demonstration that mobilized thousands of teachers ......,half true,pt,Final Answer: Half True,half true,True,False
"At 80 days since the first case, Argentina has 10,000 cases;Chile, 60 thousand and Brazil, 200 thousand",half true,es,Final Answer: Mostly True,mostly true,False,False
Algeria steals the sea in front of Sardinia?,mostly true,it,Final Answer: False,false,False,False
The Best Player of the Cup award is given to the highlight of the champion team,half true,pt,Final Answer: False,false,False,False
"""Here are the costs of the regularization of the 600,000 illegal immigrants of the Pd and M5Stelle government: 550 million euros!""",half true,it,Final Answer: Half True,half true,True,False
"""Since 2016, Senegal has won 26 places in the International Doing Business ranking""",false,fr,Final Answer: Mostly True,mostly true,False,False
We only have five consulates there [in the United States],half true,pt,Final Answer: False,false,False,False
[The lower expenditure for citizenship income] is not deficit.This shows that it is not deficit as they said,false,it,Final Answer: Mostly False,mostly false,False,False
"""[Had] the highest inflation of the last 25 years""",true,es,Final Answer: Half True,half true,False,False
"Senegal, the leading producer of salt, West Africa, however matters a quarter of its consumption.",mostly true,fr,Final Answer: Mostly True,mostly true,True,False
One in five Nigerian suffers from long -term depression.,false,fr,Final Answer: Mostly True,mostly true,False,False
"«[The Minister of Economy and Finance Roberto Gualtieri] has just announced that if you are in backlog with payments they can seal the accounts.In my opinion we are at the Soviet tax union because we are in the tax police state """,half true,it,Final Answer: Mostly False,mostly false,False,False
"Nigeria, first producer of babies infected with HIV",true,fr,Final Answer: Mostly False,mostly false,False,False
"""The Dublin regulation, penalizing for Italy, is not abolished but remains in force and the principle of reception for the countries of first entrance remains intact with serious prejudice for Italy""",half true,it,Final Answer: Mostly True,mostly true,False,False
Women carry the male DNA of all those with whom they have had intimate relationships,false,fr,Final Answer: Mostly True,mostly true,False,False
"Subsidies allocated to 100 daaras, 64 modern daaras set up and a legal framework, announces the government of Senegal, in a white paper on its achievements between 2012 and 2017.",half true,fr,Final Answer: True,true,False,False
"In Chile, $ 26,000 of per capita income, almost double Brazil",mostly true,pt,"To evaluate the claim that ""In Chile, $26,000 of per capita income, almost double Brazil,"" we need to compare the per capita income of Chile and Brazil.

As of the latest data available up to October 2023, Chile's per capita income is indeed around $26,000. However, Brazil's per capita income is significantly lower, but not quite half of Chile's. Brazil's per capita income is generally reported to be in the range of $12,000 to $15,000.

Given that $26,000 is more than double Brazil's per capita income, the claim is misleading. While it is true that Chile's per capita income is higher than Brazil's, the phrase ""almost double"" is an exaggeration.

Final Answer: Mostly False",mostly false,False,False
Really in the room bars and restaurants don't accept the ATM?,half true,it,Final Answer: Mostly False,mostly false,False,False
How much Italy and Europe spend for immigration,mostly true,it,Final Answer: Half True,half true,False,False
I increased [in] 53% [the staff of] the Civil Police of my state,half true,pt,Final Answer: Half True,half true,True,False
"""The European Parliament takes away the immunity to Marine Le Pen,"" guilty ""of having published the beheadings made by ISIS on social networks""",true,it,Final Answer: True,true,True,False
"""The role of SMEs in our country is key",true,es,Final Answer: Mostly True,mostly true,False,False
"90 % of the country mayors have a salary of less than 300,000 CFA francs.",half true,fr,Final Answer: Half True,half true,True,False
We can do it if we arrive before others to respond to the needs of the 900 thousand single mothers of our country whose half of which risks poverty and certainly more in difficulty than the other mothers,true,it,Final Answer: Mostly True,mostly true,False,False
"Important warning for those driving: Do not sanitize the car key with gel alcohol or 70%liquid.Many accidents are occurring for this.The fire that took place in a garage in Belém was due to a 70%car hygienized car key, which when placed in the ignition of the vehicle generated a spark and ended up fire the vehicle on fire",false,pt,Final Answer: Mostly True,mostly true,False,False
We are the third best rated capital [in Ideb],false,pt,Final Answer: Half True,half true,False,False
What Salvini does not say about the buffers (not) made in Lombardy and Veneto,half true,it,Final Answer: Mostly True,mostly true,False,False
"Young people die especially for road accidents, but less and less",true,it,Final Answer: Mostly True,mostly true,False,False
"The heirs of Léopold Sédar Senghor perceive, per year, more than a billion FCFA for the copyright of the National Hymn of Senegal.",half true,fr,Final Answer: False,false,False,False
Where do you vote at the age of 16 in the world?,true,it,Final Answer: Mostly False,mostly false,False,False
"""The collective work conventions were 200 in 2002 and now they are approximately 1500""",true,es,Final Answer: Mostly True,mostly true,False,False
It is one of the biggest hits of the salford band (Manchester) but it is D ......,false,pt,Final Answer: Mostly False,mostly false,False,False
"The statue of the Madonna will fly all over Italy, islands included to ask for the cessation of the pandemic",false,it,Final Answer: False,false,True,False
"“There are 800 thousand pensions for more disability.They are more than the dead of the United States, the United Kingdom, France, Poland, Greece and the Netherlands together in World War II ”",false,es,"To evaluate the claim, we need to consider the following points:

1. The claim states that there are ""800 thousand pensions for more disability."" This figure would need to be verified against reliable statistics regarding disability pensions in the relevant countries.

2. The claim also compares this number to the total number of deaths in World War II for several countries (the United States, the United Kingdom, France, Poland, Greece, and the Netherlands). The total military and civilian deaths in these countries during World War II is significantly higher than 800,000.

Given that the number of deaths in World War II for these countries combined is estimated to be in the millions, the comparison made in the claim is misleading.

Based on this analysis, the claim is not accurate.

Final Answer: False",false,True,False
"Italy ""equatorial"" and the eternal debate on perfect bicameralism",half true,it,Final Answer: Half True,half true,True,False
"""Since August to here we have created 82 thousand new formal jobs""",mostly true,es,Final Answer: Half True,half true,False,False
"""There was clearly a very, very large fraud in the passage""",false,es,Final Answer: False,false,True,False
"For the eleventh consecutive month, the Italian manufacturing activity is in contraction.",false,it,Final Answer: True,true,False,False
"About two months ago, I said in an interview that I would have already taken Brazil from the UN [...) [...) [...) Council.This current support for a condemned and arrested corrupt is just another example of our position",mostly true,pt,Final Answer: False,false,False,False
In Italy real refugees arrive by plane,false,it,Final Answer: Mostly False,mostly false,False,False
"During the field unemployment ""there were several fatalities""",false,es,Final Answer: Mostly True,mostly true,False,False
45% of Nigerian women married before the age of 18.,mostly true,fr,Final Answer: Mostly True,mostly true,True,False
"Côte d'Ivoire, the first UEMOA economy and a member of the global TOP10 of economic growth, said its Prime Minister.",true,fr,Final Answer: Mostly True,mostly true,False,False
A recording widely publicized on social networks denounces a servant ......,mostly true,pt,Final Answer: Half True,half true,False,False
The European Parliament and the Foreign Fighters,false,it,Final Answer: Half True,half true,False,False
The Rei reached 1.3 million people.The RDC - to date - to 1.4 million.And the active policies?I'm totally at the pole.The regions have never even received the lists of beneficiaries.,mostly true,it,Final Answer: Half True,half true,False,False
"""Argentina is a country that consumes 70% of what it produces""",mostly true,es,Final Answer: Mostly True,mostly true,True,False
"30. Establish, in the first year of government, a partnership with the Public Prosecution Service and the Guardianship Council to combat the exploitation of children on the streets by their own parents or other adults",false,pt,Final Answer: Half True,half true,False,False
"The concession of Ibirapuera Park, for example, (...) was stopped by the previous management [of the State Government], which created difficulties and embarrassment for us to advance",mostly true,pt,Final Answer: Half True,half true,False,False
"""Last year there were 3,262 people killed""",false,es,Final Answer: Half True,half true,False,False
We reduce to 12 the number of secretariats and half the number of commission positions,true,pt,Final Answer: Mostly True,mostly true,False,False
"Sea 12, 2020 - Der Bundestag Will KommunalPolitike Besser Vor Hasskrimanalität Und ... Weiß, Wovon Er Spricht: ER Hat Selbst Mordrohungen Bekommen.",mostly false,pt,Final Answer: Mostly True,mostly true,False,False
A information has been shared on social networks that q ......,false,pt,Final Answer: Half True,half true,False,False
"""State resources experienced 3.4% between 2016 and 2017""",false,fr,Final Answer: Half True,half true,False,False
"""The mayor received in this pandemic, data from the 16th, R $ 153 million and he only managed to spend 29.5% of these resources actually paid.""",true,pt,Final Answer: Half True,half true,False,False
Not just referendum: the laws of popular initiative,true,it,Final Answer: Mostly True,mostly true,False,False
"""Inail's latest data say that 300 people a day in Italy are infected in the workplace and ten die.And the Lockdown has only loosened for a week """,false,it,Final Answer: Mostly True,mostly true,False,False
I have a bill aimed at chemical castration [for the convicted of rape],mostly true,pt,Final Answer: True,true,False,False
Several publications emerged on social networks indicating that Klaus Püs ......,false,pt,Final Answer: Half True,half true,False,False
But in Veneto the vaccinated children increase or not?,false,it,Final Answer: Mostly True,mostly true,False,False
"""Renewable energies represent only 18% of the current electricity production capacity of Africa.Consequently, the development of over -network alternative solutions could create many more possibilities and transform millions of lives ”",half true,fr,Final Answer: Mostly True,mostly true,False,False
37 health posts were closed in full pandemic in Curitiba,mostly true,pt,Final Answer: True,true,False,False
"A reissue of the London trio debut album, 2009, included U ......",mostly true,pt,Final Answer: False,false,False,False
True: the vaccine law works,true,it,Final Answer: Mostly True,mostly true,False,False
"""(...) EPTC, just last year, earned $ 80 million [in traffic fines]""",mostly true,pt,Final Answer: False,false,False,False
"Create a judicial police ”other
It is a check.com cfk: ""Today with food we are the same as Venezuela.""Fake.What does it mean?Sorry, today with food we are the same as Venezuela, Cristina Kirchner launched during the presentation of her ...",false,es,Final Answer: Mostly False,mostly false,False,False
"""Today, in urban areas, we have practically a rate of access to drinking water of almost 98.8 %;In rural areas: 91 % roughly.Which gives us an average of 95 % ”",half true,fr,Final Answer: Mostly True,mostly true,False,False
We had peace mission in that country [Mozambique] in the 90's,true,pt,Final Answer: True,true,True,False
"""Of the 55 countries of the African Union, Senegal is one of the 5 countries at risk of low over -indebtedness.And among the ECOWAS member countries, the only one at risk of low outset. ”",true,fr,Final Answer: Mostly False,mostly false,False,False
"“When I was president of the Central Bank I assumed with a 40%inflation.We lower it to 4% in a year """,half true,es,Final Answer: Mostly True,mostly true,False,False
"The writer of ""I promise to fail"" wrote on Facebook that the State Reco ......",true,pt,Final Answer: False,false,False,False
It is alleged in a Facebook post that the virus that is causing to ......,false,pt,Final Answer: Half True,half true,False,False
"""Public debt at the end of the year will represent 87% of GDP""",true,es,Final Answer: Half True,half true,False,False
“The municipality of Fortaleza spends about 30% [budget] on public health.”,true,pt,Final Answer: Mostly True,mostly true,False,False
The donations to help the baby who is thrilling the Portuguese to ......,half true,pt,Final Answer: Half True,half true,True,False
“We will not have a budget reduction (...) at the Secretariat of Economic Development and Work”,false,pt,Final Answer: Half True,half true,False,False
"""Open ports and the entrances to Italy return to the stars""",false,it,Final Answer: False,false,True,False
"""Senegal has the 4th best African police force""",half true,fr,Final Answer: Half True,half true,True,False
"""98mld fine to slots was canceled by judiciary not by my government.""",true,it,Final Answer: Mostly True,mostly true,False,False
"""The 2017 inflation was lower than that of 2016""",true,es,"To evaluate the claim ""The 2017 inflation was lower than that of 2016,"" we need to look at the inflation rates for both years. In the United States, for example, the inflation rate in 2016 was approximately 1.26%, while in 2017 it was around 2.13%. Since the inflation rate in 2017 was higher than in 2016, the claim is incorrect.

Final Answer: False",false,False,False
"""Junín has crime rates comparable to those of Rosario""",false,es,Final Answer: Mostly False,mostly false,False,False
"""[The economy] has been stagnant for 8 years""",true,es,Final Answer: Half True,half true,False,False
"In 2014 the European Parliament cost 1,737 billion: in just 5 years it has grown by over 300 million.[...] The largest waste is certainly the double seat of Strasbourg.This absurdity costs taxpayers almost 200 million a year, which is equivalent to practically 10 percent of the entire Budget of Parliament",mostly true,it,Final Answer: Mostly True,mostly true,True,False
Circles on social networks a publication denouncing that Portugal is ......,false,pt,Final Answer: Half True,half true,False,False
"The gross domestic product (GDP) of Lagos is higher than those accumulated by Cameroon, Côte d'Ivoire and Senegal.",mostly true,fr,Final Answer: True,true,False,False
After the homophobic statements of the Brazilian minister who protects ......,false,pt,Final Answer: Half True,half true,False,False
Cristiano Ronaldo has transformed his hotels into free hospitals for the fight against the new Coronavirus,false,it,Final Answer: Mostly True,mostly true,False,False
"""We had no more cuts of light""",false,es,Final Answer: Half True,half true,False,False
"""The PRO in several elections has exceeded the female quota""",mostly true,es,Final Answer: Mostly True,mostly true,True,False
"""It was necessary to triple industrial parks""",half true,es,Final Answer: Half True,half true,True,False
"""98% of the population of La Matanza is connected to the drinking water network""",false,es,Final Answer: Mostly True,mostly true,False,False
"""[In the decrees"" relaunch ""and"" Cura Italia ""] what does Covid have to do with the extension of the airport concession of Fiumicino to the Benetton, which is worth a gift from over one billion?""(min. 6:11)",half true,it,Final Answer: Mostly True,mostly true,False,False
"In the 2017 budget, according to the bill presented, the tax increase is not foreseen",half true,pt,Final Answer: True,true,False,False
M5S/Lega wanted to reduce the tax burden: did they do it?,true,it,Final Answer: Mostly True,mostly true,False,False
On the chemical castration Matteo Salvini is right,true,it,Final Answer: Half True,half true,False,False
Is it true that since the government of Cavaco Silva there was not so ......,true,pt,Final Answer: Half True,half true,False,False
Senegal is the 5th African country in the fight against malaria.,true,fr,Final Answer: Half True,half true,False,False
And they [international transparency] produced more than 70 proposals to combat corruption,true,pt,Final Answer: Mostly True,mostly true,False,False
Renzi and Africa growing,mostly true,it,Final Answer: Half True,half true,False,False
Who created CPMF was Fernando Henrique Cardoso,true,pt,Final Answer: Mostly True,mostly true,False,False
"A foreigner cannot invest in banks, real estate and large distribution in Ethiopia.",mostly true,fr,Final Answer: Mostly True,mostly true,True,False
Haddad thief steals the photo of the carnival of Salvador and calls the photo of the turn!,false,pt,Final Answer: False,false,True,False
"Schooling of the Roma, where are we?",true,it,Final Answer: Mostly True,mostly true,False,False
The poverty rate increased from 47 to 56 % from 2011 to 2015.,mostly true,fr,Final Answer: False,false,False,False
"The public sector finances less than 50 % of health spending in West Africa, a West African expert recently said.",true,fr,Final Answer: Mostly True,mostly true,False,False
"China finances infrastructure projects in Africa more than the BAD, the EU, the SFI, the World Bank and the G8 combined.",true,fr,Final Answer: Mostly True,mostly true,False,False
"""Private investment just three months after leaving the default sum in ads more than US $ 35 billion""",half true,es,Final Answer: Half True,half true,True,False
"«There are thousands of the Emilians and the Romagna who go elsewhere to be cured [...].Are more those who come out [than those who arrive] """,false,it,Final Answer: Mostly True,mostly true,False,False
How many countries are there in Africa?,mostly true,fr,Final Answer: Mostly True,mostly true,True,False
"According to a publication that is circulating on Facebook, Franç ......",half true,pt,Final Answer: Half True,half true,True,False
"""Social spending grew by 43.5%, that means that the investment towards those who have the least is what grew most in the budget""",false,es,Final Answer: Mostly True,mostly true,False,False
"""We are a record province regarding infant mortality reduction""",true,es,Final Answer: Mostly True,mostly true,False,False
While several private health groups announce the intention to break ......,false,pt,Final Answer: Half True,half true,False,False
Most [parties] that are on Alckmin's stage were on Dilma's stage,half true,pt,Final Answer: Mostly True,mostly true,False,False
"In Hungary the taxes on businesses are 9 percent and on natural persons to 15 percent, and Hungary grows by 5 percent",true,it,Final Answer: Mostly True,mostly true,False,False
The Sunday Standard newspaper reports that Kenyan women are careful with their children with measles with marijuana smoke.,mostly true,fr,Final Answer: False,false,False,False
Nigerians are the most educated immigrants in the United States.,false,fr,Final Answer: Mostly True,mostly true,False,False
"""He is not losing against inflation""",false,es,Final Answer: Half True,half true,False,False
"At this time of year, the dry and wind climate favor spontaneous and criminal burning",mostly true,pt,Final Answer: Mostly True,mostly true,True,False
Giorgia Meloni is right on the comparison between Italy and Austria,true,it,Final Answer: Half True,half true,False,False
The Federal Supreme Court has acquitted me of something that you come and brings back here [the use of public money to hire a cabinet employee to provide private service],true,pt,Final Answer: False,false,False,False
Italian prisons have a problem: they are the most overcrowded,true,it,Final Answer: Mostly True,mostly true,False,False
"""Today pays the same [of income tax] who earns $ 5 million per year as the one who earns 250 thousand""",false,es,Final Answer: False,false,True,False
"""The Ministry of the Interior gave indications to the Prefects on the definition of"" Conjuncts "", reiterating the interpretation of the Presidency of the Council of Ministers""",mostly true,it,Final Answer: True,true,False,False
"""The consumption of drugs grows and the sale of weapons in our country is also growing""",half true,it,Final Answer: Mostly True,mostly true,False,False
The information that the municipality of Grândola ......,mostly true,pt,Final Answer: Half True,half true,False,False
"""Of the four points of the GDP of subsidies, two points go to people who do not need it""",half true,es,Final Answer: Half True,half true,True,False
Africa does not have a country with an epidemic,false,pt,Final Answer: False,false,True,False
Words in comparison: the new Italian and German constitution,mostly true,it,Final Answer: Half True,half true,False,False
[Tiradentes University has] R $ 310 million annual budget,half true,pt,Final Answer: Half True,half true,True,False
"""Macri leaves us more than 2 million unemployed""",true,es,Final Answer: Mostly True,mostly true,False,False
"When going to the beach, there are still many doubts: is it possible M ......",false,pt,Final Answer: Half True,half true,False,False
13.9 % of young girls are excised in Senegal.,half true,fr,Final Answer: Mostly True,mostly true,False,False
"“Today the same energy for industrial production consumed on March 19 is consumed.And consumption is higher """,false,es,Final Answer: False,false,True,False
"Only 20 % of Africans have access to electricity, according to the Africa Director of the World Economic Forum",false,fr,Final Answer: Mostly False,mostly false,False,False
"From Tav to Ilva, are the ""reverse"" of the M5S ""reverse"" in the dark of Italians ""?",false,it,Final Answer: Half True,half true,False,False
"Roraima, who exported rice, now [after the demarcation of Raposa Serra do Sol] matters [rice]",half true,pt,Final Answer: Mostly True,mostly true,False,False
Paola Taverna on cuts to the increases for health care has (almost) reason,mostly true,it,Final Answer: Half True,half true,False,False
One in four girls in Senegal underwent female genital mutilation.,half true,fr,Final Answer: Mostly True,mostly true,False,False
"[We will work for the reduction of our criminal age, which is the people want and want",true,pt,Final Answer: Mostly False,mostly false,False,False
Bellanova is right: farmers remain the crumbs,mostly true,it,Final Answer: Mostly True,mostly true,True,False
"""The [electric] demand expanded 41% between 2003 and 2011, almost 50% more than in the neoliberal phase""",mostly true,es,Final Answer: Half True,half true,False,False
"Has the ""COVVID"" application been installed on your phones without your knowledge",false,fr,Final Answer: False,false,True,False
"From the health point of view of the planet, livestock is a harmful activity.It is a highly [generating] activity",true,pt,Final Answer: Mostly True,mostly true,False,False
"""1200 pregnancies in schools, Dakar a bad student"".",false,fr,Final Answer: Mostly False,mostly false,False,False
If he [João Doria] had fulfilled [the promise of not leaving the city] he would not have 60% rejection in the city of São Paulo,half true,pt,Final Answer: Mostly True,mostly true,False,False
"""Italy is the fourth country in the G7 in terms of percentage between public help to development and gross national income (0.30% achieved this year a few years in advance of what is expected)""",true,it,Final Answer: Mostly True,mostly true,False,False
"Yes, Europe made an issue of ""Eurobond"" 45 years ago",true,it,Final Answer: False,false,False,False
A small government?,half true,it,Final Answer: Half True,half true,True,False
Giulia Grillo misses: Italian doctors and nurses are not the least paid,false,it,Final Answer: Mostly False,mostly false,False,False
"Africa loses approximately 370 billion CFA francs each year because of Aflatoxin, announces the partnership for the fight against aflatoxine.",half true,fr,Final Answer: True,true,False,False
This statement [that women should earn less than men in the job market] is not my mouth.Put it in my account,false,pt,Final Answer: False,false,True,False
"""Since Macri governs his policies melled more than three thousand SMEs""",half true,es,Final Answer: False,false,False,False
Maroni and the severity of the scabies,false,it,Final Answer: Half True,half true,False,False
"""In [the] United States to measure inflation they do not take them [to food and energy]""",false,es,Final Answer: Mostly False,mostly false,False,False
Joaquim Barbosa referred to me as the only deputy of the allied base that was not bought by the PT,half true,pt,Final Answer: Mostly False,mostly false,False,False
"""Scioli paid for official advertising $ 1.5 billion [in 2015]""",mostly true,es,Final Answer: Mostly True,mostly true,True,False
"""Still in Argentina 55% of those who work are taken to the $ 3200 pocket""",mostly true,es,Final Answer: False,false,False,False
"Senegal's debt level is 65 % of GDP, where countries like Burkina are 32 % and Côte d'Ivoire at 32 %.",half true,fr,Final Answer: Mostly True,mostly true,False,False
The truth is that all these matters [district vote and mixed district vote] have already been dealt with when Eduardo Cunha was president of the house,mostly true,pt,Final Answer: Mostly True,mostly true,True,False
Rice production of the 2016 campaign has increased by 5% compared to that of the previous year and 71% compared to the last five years.,mostly true,fr,Final Answer: Half True,half true,False,False
All ISIS money,true,it,Final Answer: False,false,False,False
"Is Italian health really ""world excellence""?",mostly true,it,Final Answer: Mostly True,mostly true,True,False
The solution is quite simple,false,fr,Final Answer: Half True,half true,False,False
"While we paid those rates, gas production declined",false,es,Final Answer: Half True,half true,False,False
"Senegal has 1,000 doctors.",false,fr,Final Answer: False,false,True,False
About 72 million euros for those who kill Donald Trump and then ......,half true,pt,Final Answer: False,false,False,False
Trump's tax shock has brought unemployment to 13 confederation in the American confederation at a zero rate,half true,it,Final Answer: False,false,False,False
"""Minister Gualtieri signed to activate the MES""",false,it,Final Answer: False,false,True,False
Thief is your mother!Condemned.Maria da Saudade Medeiros Braga: sentenced to two years in prison for corruption with public money,false,pt,Final Answer: False,false,True,False
Salvini has been a politician since Di Maio was first grade?,mostly true,it,"To evaluate the claim ""Salvini has been a politician since Di Maio was in first grade,"" we need to consider the timelines of both politicians.

Matteo Salvini began his political career in the early 1990s, while Luigi Di Maio was born in 1986. Assuming Di Maio was in first grade around the age of 6 (which would be around 1992), Salvini was indeed active in politics at that time.

Therefore, the claim is accurate in stating that Salvini has been a politician since Di Maio was in first grade.

Final Answer: True",true,False,False
I have not missed the Chamber,mostly true,pt,Final Answer: Half True,half true,False,False
"""After 10 years of parity we were in a [minimum teacher] salary that was below the minimum, vital and mobile""",false,es,Final Answer: Half True,half true,False,False
"""We are the only province that loses participation in federal income year""",true,es,Final Answer: False,false,False,False
[Lula] was the president who created the most universities,true,pt,Final Answer: Mostly True,mostly true,False,False
[Brazil received] less than 100 thousand [Venezuelans].Colombia received 700 thousand,false,pt,Final Answer: Mostly False,mostly false,False,False
"In this choice ""we beat the electoral concurrence record""",half true,es,Final Answer: False,false,False,False
Thefts in apartment & immigration: so Berlusconi thinks it,half true,it,Final Answer: Half True,half true,True,False
The Tav is part of a much wider project that connects Palermo to Kiev,mostly true,it,Final Answer: False,false,False,False
Today we have no problems with water supply,half true,pt,Final Answer: True,true,False,False
"Netflix has decided to release access to its movies and series platform for people's isolation period, but it is a short registration for a short time!Run on the website",false,pt,Final Answer: False,false,True,False
"""7% of GDP is one of the greatest deficits in the history of our country""",half true,es,Final Answer: Mostly False,mostly false,False,False
Verdict of the Hissène Habre trial,false,fr,Final Answer: True,true,False,False
We are in one of the most closed countries on the planet,true,es,Final Answer: Mostly True,mostly true,False,False
"When I was secretary here in São Paulo, I implemented the new Work Program, which generated more than 2,000 jobs for the homeless",true,pt,Final Answer: Mostly True,mostly true,False,False
Cashell costs a few times less in Côte d'Ivoire in West African countries like Burkina Faso.,mostly true,fr,Final Answer: False,false,False,False
Spread: Italy and Spain compared,true,it,Final Answer: Half True,half true,False,False
"Video caption: '[President Bolsonaro,] I won't talk to you'",false,pt,Final Answer: False,false,True,False
"""All these funds [of the Recovery Fund] are much more conditioned than the MES"" (min. O: 56)",true,it,Final Answer: Mostly True,mostly true,False,False
[The participation of Israeli Prime Minister Benjamin Netanyahu at my inauguration ceremony] was the first visit of a head of Israeli government to my country,true,pt,Final Answer: True,true,True,False
"Senegal loses 40,000 hectares of forest per year.",true,fr,Final Answer: Mostly True,mostly true,False,False
"""In ‘83 the provinces had 49% of national resources, today 26%""",half true,es,Final Answer: Half True,half true,True,False
"""Here 500 thousand boys a year stop studying""",true,es,Final Answer: Mostly True,mostly true,False,False
"With over 100,000 cases [in China]",half true,pt,Final Answer: Half True,half true,True,False
When Renzi and (a part of the) Lega were against the Tav,mostly true,it,Final Answer: Mostly False,mostly false,False,False
A French constitutions demonstrates the legality of the candidacy of Alassane Ouattara,false,fr,Final Answer: False,false,True,False
Boschi inaccurate on the results of the fight against tax evasion,half true,it,Final Answer: Mostly False,mostly false,False,False
"""Red code"" for sexual crimes: already in force or news?",half true,it,Final Answer: Mostly True,mostly true,False,False
Nigeria is the country with the most not educated girls in the world.,mostly true,fr,Final Answer: Mostly True,mostly true,True,False
Conte is right about the economic relations between Italy and Mozambique,true,it,Final Answer: Half True,half true,False,False
What is the problem with Tunisian oil,true,it,Final Answer: Half True,half true,False,False
Cancer still constitutes the leading cause of mortality in the world today,false,fr,Final Answer: Mostly False,mostly false,False,False
The week it was revealed that TAP paid bonuses in the global value d ......,mostly true,pt,Final Answer: Half True,half true,False,False
"""In forecasts, the Senegalese population is multiplied by two every 25 years""",mostly true,fr,Final Answer: Mostly True,mostly true,True,False
Nigeria has not been in debt on the outdoor market since 2013,false,fr,Final Answer: False,false,True,False
What is sickle cell anemia?,true,fr,Final Answer: True,true,True,False
A publication on social networks is circulating in which you alert to ......,true,pt,Final Answer: Half True,half true,False,False
Publication on social networks attributes the following citation to Catarina Ma ......,false,pt,Final Answer: Half True,half true,False,False
"""Salvini shouts at the emergency, however, in Brussels he did not miss an opportunity to vote against all the measures to protect the environment""",half true,it,Final Answer: Mostly True,mostly true,False,False
"Senegal public debt is 6,000 billion FCFA",half true,fr,Final Answer: Half True,half true,True,False
The results of the Democratic Party in Campania according to Renzi,false,it,Final Answer: Half True,half true,False,False
"""Investment in education has had a correlation in the decrease in dropout in secondary school""",mostly true,es,Final Answer: Mostly True,mostly true,True,False
"In his New Year's message, on December 31, 2016, Macky Sall announced the recruitment of police and sappers in 2017, in addition to the tightening of criminal sanctions related to terrorism",mostly true,fr,Final Answer: True,true,False,False
